filter_name,window,start,end,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,status_counts_json
top1_not_hot_rank3,2015,2015-01-01,2015-12-31,15,11,0.8181818181818182,3.581955719070281,1.950354609929084,0.1204478880370336,5.570012701635482,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 11, ""weak_open_skip"": 1}"
top2_hot_rank3,2015,2015-01-01,2015-12-31,6,5,0.8,4.876007528717363,3.450258769407693,2.0408163265306047,3.59223300970873,15.500603136308811,-0.20387359836902497,"{""gap_up_skip"": 1, ""max_hold"": 5}"
top2_not_hot_rank3,2015,2015-01-01,2015-12-31,21,17,0.8823529411764706,3.442882999380682,2.8756957328385946,0.414364640883969,4.570682337577545,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 17, ""weak_open_skip"": 1}"
all,2019,2019-01-01,2019-12-31,122,92,0.5652173913043478,0.4355478761898911,0.5476954349149954,-1.2731966532752954,2.2398720073138683,13.2899022801303,-8.0,"{""breakout_failed"": 6, ""gap_up_skip"": 15, ""max_hold"": 80, ""no_data"": 10, ""stop_hit"": 6, ""weak_open_skip"": 5}"
top1,2019,2019-01-01,2019-12-31,48,36,0.4722222222222222,-0.14498162048825092,-0.6346362241558818,-3.4552748122370325,2.482994393386427,9.170305676855895,-8.0,"{""breakout_failed"": 4, ""gap_up_skip"": 8, ""max_hold"": 29, ""no_data"": 2, ""stop_hit"": 3, ""weak_open_skip"": 2}"
top2,2019,2019-01-01,2019-12-31,80,59,0.5254237288135594,-0.1234188011560574,0.373134328358201,-2.360409556313992,2.268441803325529,9.170305676855895,-8.0,"{""breakout_failed"": 5, ""gap_up_skip"": 13, ""max_hold"": 49, ""no_data"": 4, ""stop_hit"": 5, ""weak_open_skip"": 4}"
top3,2019,2019-01-01,2019-12-31,101,77,0.5584415584415584,0.14413944586126579,0.5042016806722731,-1.7283950617283912,2.32558139534885,9.170305676855895,-8.0,"{""breakout_failed"": 5, ""gap_up_skip"": 13, ""max_hold"": 66, ""no_data"": 6, ""stop_hit"": 6, ""weak_open_skip"": 5}"
hot_rank1,2019,2019-01-01,2019-12-31,2,1,0.0,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,"{""gap_up_skip"": 1, ""max_hold"": 1}"
not_hot_rank1,2019,2019-01-01,2019-12-31,120,91,0.5714285714285714,0.48180208258385004,0.5591978403393736,-1.2213100994906023,2.268441803325529,13.2899022801303,-8.0,"{""breakout_failed"": 6, ""gap_up_skip"": 14, ""max_hold"": 79, ""no_data"": 10, ""stop_hit"": 6, ""weak_open_skip"": 5}"
top1_hot_rank1,2019,2019-01-01,2019-12-31,2,1,0.0,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,"{""gap_up_skip"": 1, ""max_hold"": 1}"
top1_not_hot_rank1,2019,2019-01-01,2019-12-31,48,36,0.5,0.0013339583803693418,-0.07950770469738852,-2.662740929705213,2.482994393386427,9.170305676855895,-8.0,"{""breakout_failed"": 4, ""gap_up_skip"": 8, ""max_hold"": 29, ""no_data"": 2, ""stop_hit"": 3, ""weak_open_skip"": 2}"
top2_hot_rank1,2019,2019-01-01,2019-12-31,2,1,0.0,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,-3.773584905660373,"{""gap_up_skip"": 1, ""max_hold"": 1}"
top2_not_hot_rank1,2019,2019-01-01,2019-12-31,78,58,0.5344827586206896,-0.06048490280253472,0.41418476660702347,-2.21801001715351,2.297011599337189,9.170305676855895,-8.0,"{""breakout_failed"": 5, ""gap_up_skip"": 12, ""max_hold"": 48, ""no_data"": 4, ""stop_hit"": 5, ""weak_open_skip"": 4}"
hot_rank2,2019,2019-01-01,2019-12-31,9,5,0.8,2.184639527012952,2.6188166828321977,2.2113022113022076,4.084350721420652,5.7823129251700776,-3.773584905660373,"{""gap_up_skip"": 3, ""max_hold"": 5, ""no_data"": 1}"
not_hot_rank2,2019,2019-01-01,2019-12-31,113,87,0.5517241379310345,0.33502536752189904,0.5042016806722731,-1.3106696592935134,1.9029882489281806,13.2899022801303,-8.0,"{""breakout_failed"": 6, ""gap_up_skip"": 12, ""max_hold"": 75, ""no_data"": 9, ""stop_hit"": 6, ""weak_open_skip"": 5}"
top1_hot_rank2,2019,2019-01-01,2019-12-31,9,5,0.8,2.184639527012952,2.6188166828321977,2.2113022113022076,4.084350721420652,5.7823129251700776,-3.773584905660373,"{""gap_up_skip"": 3, ""max_hold"": 5, ""no_data"": 1}"
top1_not_hot_rank2,2019,2019-01-01,2019-12-31,48,37,0.4864864864864865,-0.09558727521704555,-0.614250614250623,-2.399999999999998,1.7511520737327142,9.170305676855895,-8.0,"{""breakout_failed"": 4, ""gap_up_skip"": 7, ""max_hold"": 30, ""no_data"": 2, ""stop_hit"": 3, ""weak_open_skip"": 2}"
top2_hot_rank2,2019,2019-01-01,2019-12-31,9,5,0.8,2.184639527012952,2.6188166828321977,2.2113022113022076,4.084350721420652,5.7823129251700776,-3.773584905660373,"{""gap_up_skip"": 3, ""max_hold"": 5, ""no_data"": 1}"
top2_not_hot_rank2,2019,2019-01-01,2019-12-31,78,59,0.5254237288135594,-0.08377157382601755,0.12383900928794507,-2.115200921679035,2.0646665995503266,9.170305676855895,-8.0,"{""breakout_failed"": 5, ""gap_up_skip"": 10, ""max_hold"": 49, ""no_data"": 4, ""stop_hit"": 5, ""weak_open_skip"": 5}"
hot_rank3,2019,2019-01-01,2019-12-31,10,6,0.8333333333333334,3.198411383873573,3.3515837021264248,2.313180829184705,5.357822374232721,8.267270668176675,-3.773584905660373,"{""gap_up_skip"": 3, ""max_hold"": 6, ""no_data"": 1}"
not_hot_rank3,2019,2019-01-01,2019-12-31,112,86,0.5465116279069767,0.24278995704916911,0.4797184427640595,-1.3481426653117312,1.8023114731205687,13.2899022801303,-8.0,"{""breakout_failed"": 6, ""gap_up_skip"": 12, ""max_hold"": 74, ""no_data"": 9, ""stop_hit"": 6, ""weak_open_skip"": 5}"
top1_hot_rank3,2019,2019-01-01,2019-12-31,9,5,0.8,2.184639527012952,2.6188166828321977,2.2113022113022076,4.084350721420652,5.7823129251700776,-3.773584905660373,"{""gap_up_skip"": 3, ""max_hold"": 5, ""no_data"": 1}"
top1_not_hot_rank3,2019,2019-01-01,2019-12-31,48,37,0.4864864864864865,-0.09558727521704555,-0.614250614250623,-2.399999999999998,1.7511520737327142,9.170305676855895,-8.0,"{""breakout_failed"": 4, ""gap_up_skip"": 7, ""max_hold"": 30, ""no_data"": 2, ""stop_hit"": 3, ""weak_open_skip"": 2}"
