base_high,base_low,base_range_pct,blocked_sell_days,breakout_pct,close,code,date,hold_days,pnl_pct,rel20_pct,ret20_pct,ret60_pct,score,status,volume_ratio
9.8,8.75,12.000000000000007,0,9.693877551020401,10.75,600513,2024-11-06,5,0.5581395348837256,8.252773327612097,18.131868131868135,29.518072289156617,118.84304074612241,max_hold,3.7418919486831412
18.29,16.08,13.74378109452737,0,3.663203936577374,18.96,601698,2024-11-06,5,48.503937007874,5.2393022813541865,15.118397085610225,11.792452830188683,94.23544252493687,max_hold,4.220920361882602
6.81,6.05,12.561983471074377,0,3.9647577092511086,7.08,000928,2024-11-06,5,1.838755304101837,5.996518943698128,15.875613747954166,27.338129496402885,74.65397967834681,max_hold,1.8734820124224663
15.61,13.84,12.78901734104046,0,5.893657911595143,16.53,000960,2025-03-14,5,-5.5283628786351215,6.53084806173576,11.689189189189197,9.906914893617035,108.57293012853039,breakout_failed,4.2868597354244935
1555.5,1445.0,7.647058823529412,0,4.661523625843779,1628.01,600519,2025-03-14,5,-5.024140012070006,5.215218194580462,10.373559322033898,6.017843188330296,103.86815908164408,max_hold,2.8247197250079155
7.34,6.48,13.271604938271594,0,8.31062670299728,7.95,920433,2025-03-14,4,-7.999999999999992,11.925605853400768,17.083946980854204,7.14285714285714,100.46221323936798,stop_hit,2.6282885399754217
18.08,16.4,10.24390243902439,0,7.743362831858419,19.48,001209,2025-03-14,4,-7.333333333333332,11.698287546811702,16.85662867426514,0.257334019557387,93.5383516146278,breakout_failed,2.1170076158929776
5.22,4.59,13.72549019607843,0,3.4482758620689773,5.4,600601,2025-03-14,5,-2.214022140221404,5.497396577464597,10.655737704918034,16.630669546436305,92.96416497633544,max_hold,3.081118970100774
8.59,8.08,6.311881188118809,0,9.080325960419085,9.37,603966,2025-03-18,5,1.8104366347177838,6.759202474966264,14.407814407814401,10.756501182033084,120.2738352143957,max_hold,5.540378157386135
15.48,14.05,10.177935943060495,0,9.108527131782946,16.89,001202,2025-03-18,5,20.865254080174157,11.7997614759213,19.448373408769438,10.24804177545693,113.92939082763718,max_hold,5.485342719227591
12.14,10.96,10.76642335766423,0,6.425041186161444,12.92,002953,2025-03-18,4,-7.999999999999995,6.183987186094587,13.832599118942724,6.600660066006614,108.00747788664506,stop_hit,2.9888157205243298
7.64,6.97,9.612625538020085,0,3.534031413612572,7.91,300444,2025-03-18,5,17.893401015228417,5.029450745214547,12.678062678062684,5.046480743691895,92.97914040486569,max_hold,2.99316153722931
19.45,17.16,13.34498834498834,,4.215938303341904,20.27,002903,2025-03-18,,,10.131748322817156,17.780360255665293,7.078711040676167,85.72254085506309,limit_up_buy_blocked,3.187627675874393
3.28,3.07,6.840390879478826,0,9.756097560975618,3.6,601218,2025-03-20,5,-4.3209876543209855,11.848387186616005,15.015974440894574,2.2727272727272707,126.20249004637488,max_hold,7.1847284633347765
12.93,11.78,9.76230899830221,,8.120649651972164,13.98,600081,2025-03-20,,,10.398619082033367,13.566206336311936,28.61085556577738,116.48484753353077,weak_open_skip,3.6371497878783963
4.22,3.82,10.471204188481673,,7.5829383886256,4.54,600495,2025-03-20,,,11.769121606480915,14.936708860759484,13.5,111.71650582327192,weak_open_skip,5.627031543894427
5.85,5.45,7.339449541284393,0,7.008547008547011,6.26,601886,2025-03-20,5,-1.248910833575369,10.650594563903248,13.818181818181818,9.824561403508758,105.45279072999767,max_hold,5.76740952716738
27.18,23.93,13.581278729628082,0,8.86681383370125,29.59,603355,2025-03-20,5,-6.566666666666662,18.853031302422462,22.02061855670103,28.708133971291883,103.81731807934851,max_hold,2.591910869054935
10.95,9.66,13.354037267080738,0,8.858447488584481,11.92,001914,2025-03-17,5,1.1007620660457156,13.350736960904364,18.253968253968257,4.837291116974507,95.71178255005309,max_hold,2.049447224687639
4.55,4.1,10.975609756097567,0,5.71428571428571,4.81,002494,2025-03-17,5,-8.0,7.479946277029549,12.38317757009344,12.12121212121211,92.28770968961669,stop_hit,3.3334486354442463
14.68,13.15,11.634980988593151,0,2.1798365122615824,15.0,603681,2025-03-17,4,-2.3984010659560258,6.372733098627493,11.275964391691385,6.913756236635793,67.98890315183529,breakout_failed,2.8653413004899244
22.83,20.43,11.747430249632886,0,3.723171265878237,23.68,300971,2025-03-17,5,7.835107835107835,7.590830464655807,12.494061757719699,2.466464733881435,67.47248807557409,max_hold,2.1386283149955396
12.94,11.53,12.228967909800522,0,2.472952086553325,13.26,300092,2025-03-17,5,2.203647416413367,6.338379445191134,11.241610738255027,5.238095238095242,60.93118789872433,max_hold,1.9974291235146358
28.63,25.24,13.431061806656105,0,6.112469437652813,30.38,300054,2025-02-20,5,-1.9306282722513086,8.07595253343014,17.751937984496124,10.192237939789628,109.24375481926077,max_hold,3.063692837967537
