config_name,window,start,end,eligible_days,signal_days,raw_signals,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,avg_hold_days,base_window,max_base_range_pct,min_breakout_pct,min_volume_ratio,entry_low_pct,entry_high_pct,stop_pct,failure_buffer_pct,take_profit_pct,max_hold_days,min_ret20_pct,min_rel20_pct,status_counts_json
take_profit3,2020,2020-01-01,2020-12-31,115,83,261,221,180,0.5555555555555556,-0.1651428629060171,0.9855797988349744,-2.4641361781025717,3.0,3.0,-12.140575079872201,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,3.0,2,10.0,5.0,"{""breakout_failed"": 16, ""gap_up_skip"": 32, ""limit_up_buy_blocked"": 2, ""max_hold"": 71, ""no_data"": 3, ""stop_hit"": 14, ""take_profit"": 79, ""weak_open_skip"": 4}"
hold3_tp5,2020,2020-01-01,2020-12-31,115,83,261,221,180,0.5055555555555555,-0.05052183477762569,0.09381926835476083,-3.5991635141281746,5.0,5.0,-12.140575079872201,2.6,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,3,10.0,5.0,"{""breakout_failed"": 29, ""gap_up_skip"": 32, ""limit_up_buy_blocked"": 2, ""max_hold"": 76, ""no_data"": 3, ""stop_hit"": 15, ""take_profit"": 60, ""weak_open_skip"": 4}"
base_sr_hold2_e-2_0,2024q4_2025q1,2024-09-01,2025-03-31,58,37,238,142,113,0.4424778761061947,0.787882743500457,-0.4366812227074354,-2.9013539651837594,2.7665317139001355,22.616822429906545,-8.000000000000002,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 100, ""stop_hit"": 4, ""weak_open_skip"": 4}"
strict_base_range10,2024q4_2025q1,2024-09-01,2025-03-31,58,23,47,47,41,0.4878048780487805,0.5403066425987693,0.0,-3.211991434689515,3.1830642704843,19.950020824656413,-8.23412698412699,2.0,20,10.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 4, ""gap_up_skip"": 4, ""limit_up_buy_blocked"": 1, ""max_hold"": 34, ""stop_hit"": 3, ""weak_open_skip"": 1}"
take_profit3,2024q4_2025q1,2024-09-01,2025-03-31,58,37,238,142,113,0.48672566371681414,-0.47129605982729394,-0.3164556962025361,-2.9013539651837594,3.0,3.0,-8.000000000000002,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,3.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 56, ""stop_hit"": 4, ""take_profit"": 44, ""weak_open_skip"": 4}"
hold3_tp5,2024q4_2025q1,2024-09-01,2025-03-31,58,37,238,142,113,0.48672566371681414,-0.08274662192368737,-0.35009819827511396,-3.8092381523695353,5.0,5.0,-8.000000000000004,2.601769911504425,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,3,10.0,5.0,"{""breakout_failed"": 14, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 53, ""stop_hit"": 8, ""take_profit"": 38, ""weak_open_skip"": 4}"
base_sr_hold2_e-2_0,2025_2026ytd,2025-04-01,2026-05-13,144,127,918,496,394,0.46954314720812185,0.40778584493938536,-0.2145410073852279,-2.8152268561650926,2.7968703204552208,37.157987643424526,-10.774818401937042,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 38, ""gap_up_skip"": 74, ""limit_up_buy_blocked"": 14, ""max_hold"": 335, ""stop_hit"": 21, ""weak_open_skip"": 14}"
strict_base_range10,2025_2026ytd,2025-04-01,2026-05-13,144,75,213,201,153,0.45751633986928103,0.6545506793260253,-0.4279279279279229,-2.51063829787234,2.0408163265306185,37.157987643424526,-8.967082860385934,2.0,20,10.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 11, ""gap_up_skip"": 39, ""limit_up_buy_blocked"": 6, ""max_hold"": 138, ""stop_hit"": 4, ""weak_open_skip"": 3}"
take_profit3,2025_2026ytd,2025-04-01,2026-05-13,144,127,918,496,394,0.5076142131979695,-0.337882558022772,0.24928848695248734,-2.8152268561650926,3.0,3.0,-10.774818401937042,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,3.0,2,10.0,5.0,"{""breakout_failed"": 37, ""gap_up_skip"": 74, ""limit_up_buy_blocked"": 14, ""max_hold"": 175, ""stop_hit"": 21, ""take_profit"": 161, ""weak_open_skip"": 14}"
hold3_tp5,2025_2026ytd,2025-04-01,2026-05-13,144,127,918,496,394,0.47715736040609136,-0.13692849939532414,-0.33198826118856317,-3.654498465514447,5.0,5.0,-33.06382978723404,2.598984771573604,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,3,10.0,5.0,"{""breakout_failed"": 58, ""gap_up_skip"": 74, ""limit_up_buy_blocked"": 14, ""max_hold"": 174, ""stop_hit"": 28, ""take_profit"": 134, ""weak_open_skip"": 14}"
