window,regime_name,regimes_csv,min_regime_score,entry_band,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,eligible_days,raw_signals
2020,STRONG_BULL,STRONG_BULL,,open_m3_0,15,0.6,1.7572697362051615,2.5854700854700874,-1.1456231781190465,4.211628265605897,47,59
2020,STRONG_RANGE,STRONG_RANGE,,open_m3_p2,48,0.625,2.064178958878829,0.8384920634920631,-0.6398121410557642,3.4798824235911434,115,57
2020,STRONG_RANGE,STRONG_RANGE,,open_m3_p1,39,0.5897435897435898,1.712450875725753,0.7936507936507908,-1.0085981501397514,2.95554839809882,115,57
2020,STRONG_RANGE,STRONG_RANGE,,open_m3_0,25,0.6,1.9633601691896185,0.5633802816901414,-1.20833333333333,2.7114967462039044,115,57
2020,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_p2,24,0.4166666666666667,-0.9327417726042491,-1.2082940152437611,-4.156218475284626,2.564765411411941,70,30
2020,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_p1,20,0.4,-0.9653590253883733,-1.2082940152437611,-4.156218475284626,2.564765411411941,70,30
2020,NEUTRAL_RANGE,NEUTRAL_RANGE,,open_m3_0,15,0.4666666666666667,-0.977468378877425,-0.9202453987730002,-4.4992073785848135,3.021687685568981,70,30
2020,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_p2,75,0.6133333333333333,2.169703478758267,0.9316770186335344,-1.0085981501397514,3.954456195767487,162,116
2020,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_p1,61,0.5901639344262295,1.7784801203576344,0.8833333333333353,-1.20833333333333,3.506878877798751,162,116
2020,BULL_RANGE,"STRONG_BULL,STRONG_RANGE",,open_m3_0,40,0.6,1.8860762568204474,0.7233568075117384,-1.2885129969418934,3.523834685388478,162,116
2020,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p2,72,0.5555555555555556,1.0652053817178029,0.6435462498276201,-1.5139502397402533,3.4798824235911434,185,87
2020,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p1,59,0.5254237288135594,0.8047187058565578,0.1177856301531188,-1.663806569423357,2.95554839809882,185,87
2020,RANGE_NEUTRAL,"STRONG_RANGE,NEUTRAL_RANGE",,open_m3_0,40,0.55,0.8605494636644773,0.3405829559216301,-1.9374788814597048,2.833522572151362,185,87
2020,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p2,99,0.5656565656565656,1.4175955390340207,0.7936507936507908,-1.4892294346790313,3.846410038340791,232,146
2020,BULL_RANGE_NEUTRAL,"STRONG_BULL,STRONG_RANGE,NEUTRAL_RANGE",,open_m3_p1,81,0.5432098765432098,1.1009889732598548,0.5633802816901414,-1.5290519877675839,3.506878877798751,232,146
