trade_date,open,high,low,close,volume
2025-09-15,585.619,588.953,585.475,588.844,44360315
2025-09-16,589.769,590.018,587.659,588.346,36942130
2025-09-17,588.267,588.913,581.564,587.172,69384820
2025-09-18,592.058,595.273,590.118,592.466,61069294
2025-09-19,594.467,597.174,592.994,596.477,58196109
2025-09-22,595.564,600.676,595.544,600.008,57154769
2025-09-23,600.177,600.377,594.807,596.023,64635486
2025-09-24,597.398,597.716,591.2,593.93,49850301
2025-09-25,590.044,592.949,586.358,591.37,70920209
2025-09-26,592.187,594.13,588.909,593.801,54337416
2025-09-29,596.929,599.859,595.235,596.551,48332934
2025-09-30,596.252,598.523,593.93,598.185,46533814
2025-10-01,594.996,601.592,594.169,601.054,46899612
2025-10-02,604.85,604.95,600.735,603.525,43765410
2025-10-03,604.302,605.115,599.196,600.984,46482098
2025-10-06,606.235,607.142,603.764,605.498,41962115
2025-10-07,606.803,607.491,600.835,602.31,58209463
2025-10-08,603.206,609.523,603.057,609.214,50629754
2025-10-09,609.254,609.384,605.269,608.477,45550958
2025-10-10,609.175,610.948,586.906,587.354,97614783
2025-10-13,597.497,600.755,595.056,599.819,65872584
2025-10-14,593.143,600.496,587.982,595.823,69203187
2025-10-15,601.811,604.492,593.761,600.028,62805456
2025-10-16,602.907,606.096,593.332,597.806,70981963
2025-10-17,595.774,603.306,594.199,601.732,72024872
2025-10-20,604.93,610.569,604.855,609.314,45761697
2025-10-21,609.414,610.491,607.102,609.155,44538161
2025-10-22,608.597,609.185,597.557,603.286,61478802
2025-10-23,602.708,609.145,602.32,608.358,42844298
2025-10-24,613.748,616.169,612.891,614.854,47632473
2025-10-27,622.247,626.262,621.759,625.804,54098611
2025-10-28,628.066,632.37,626.96,630.616,61195733
2025-10-29,633.277,634.691,627.956,633.456,67422806
2025-10-30,629.869,631.194,623.662,623.771,61628621
2025-10-31,631.862,631.892,624.409,626.78,66305147
2025-11-03,632.798,633.506,627.557,629.779,37154307
2025-11-04,621.011,624.668,616.204,616.996,63830768
2025-11-05,616.239,624.319,614.963,621.011,48688484
2025-11-06,619.527,619.776,608.079,609.444,72115128
2025-11-07,606.096,607.73,596.491,607.521,81835388
2025-11-10,616.667,622.038,614.645,620.962,55919931
2025-11-11,618.311,620.453,615.272,619.308,44868841
2025-11-12,622.566,622.586,615.561,618.819,47444384
2025-11-13,615.292,615.87,603.874,606.185,71333634
2025-11-14,597.368,611.117,594.996,606.644,80087291
2025-11-17,604.093,610.251,597.687,601.463,63850367
2025-11-18,597.437,600.118,589.188,594.14,83327279
2025-11-19,594.897,603.954,592.426,597.687,73111487
2025-11-20,609.394,611.795,582.622,583.538,117743195
2025-11-21,585.332,594.807,578.626,587.922,103344155
2025-11-24,593.113,604.472,592.994,602.957,60168149
2025-11-25,601.313,608.039,595.146,606.674,57560867
2025-11-26,610.281,613.947,608.168,612.034,42393598
2025-11-28,613.867,617.066,613.177,616.996,23034394
2025-12-01,611.396,617.185,610.29,614.924,40957588
2025-12-02,617.205,621.48,615.342,619.736,54541834
2025-12-03,617.365,621.948,615.78,621.25,47841627
2025-12-04,622.655,622.665,617.285,620.673,47067751
2025-12-05,622.107,626.631,621.44,623.203,53614169
2025-12-08,624.927,626.551,619.427,622.008,43462406
2025-12-09,620.742,623.592,618.74,622.775,37155999
2025-12-10,621.579,626.92,618.73,625.326,55031384
2025-12-11,621.549,623.502,615.472,623.303,58272844
2025-12-12,619.816,621.27,609.135,611.386,75158726
2025-12-15,616.119,616.169,607.102,608.318,49538197
2025-12-16,606.046,611.277,604.701,609.523,55152819
2025-12-17,610.829,611.416,598.095,598.225,70654327
2025-12-18,607.58,610.699,604.711,606.893,78875824
2025-12-19,609.723,615.372,609.643,614.804,60369829
2025-12-22,619.886,620.185,616.315,617.751,43703101
2025-12-23,616.744,620.944,616.324,620.644,41120445
2025-12-24,620.525,622.809,620.255,622.46,18468707
2025-12-26,623.188,624.041,621.672,622.42,28959778
2025-12-29,618.639,621.313,617.272,619.407,32458308
2025-12-30,618.38,620.714,617.756,617.971,31226754
2025-12-31,618.19,618.499,612.603,612.863,40746527
2026-01-02,618.599,621.383,608.712,611.675,61859163
2026-01-05,617.861,619.347,615.267,616.534,46828359
2026-01-06,617.771,622.551,617.083,621.951,43137520
2026-01-07,621.572,626.461,621.093,622.55,44880339
2026-01-08,621.562,621.951,616.344,619.008,50435941
2026-01-09,619.946,626.411,617.601,625.174,49688734
2026-01-12,620.844,627.363,620.794,625.692,37388651
2026-01-13,625.792,627.987,622.226,624.765,44481380
2026-01-14,620.774,621.981,613.112,618.09,72598700
2026-01-15,625.124,628.516,619.288,620.315,53934892
2026-01-16,624.026,624.605,617.422,619.796,61058094
2026-01-20,609.092,613.606,605.62,606.627,81988898
2026-01-21,608.034,618.958,606.431,614.828,79837881
2026-01-22,620.884,620.993,616.324,619.297,42254757
2026-01-23,618.27,623.926,617.192,621.253,43645825
2026-01-26,621.742,626.131,620.654,623.986,35983008
2026-01-27,627.428,630.554,625.862,629.643,38997212
2026-01-28,633.963,635.1,630.321,631.728,50691691
2026-01-29,631.159,632.177,616.813,627.947,79944047
2026-01-30,624.236,626.776,617.838,620.405,65650714
2026-02-02,617.242,627.009,617.202,624.665,49020292
2026-02-03,626.82,628.496,609.521,615.067,81233969
2026-02-04,613.571,613.651,599.055,604.323,81850748
2026-02-05,598.796,603.385,593.359,595.623,89354492
2026-02-06,598.776,609.97,597.359,608.214,78019338
2026-02-09,606.109,615.008,603.644,612.873,56797557
2026-02-10,613.855,615.566,609.57,610.029,53938859
2026-02-11,614.928,616.065,606.258,611.666,58575101
2026-02-12,613.262,614.359,598.157,599.225,81378903
2026-02-13,599.015,605.051,595.015,600.502,69237547
2026-02-17,596.965,602.527,591.942,599.883,69013763
2026-02-18,600.691,608.334,599.305,604.363,64250668
2026-02-19,601.39,604.388,599.335,602.048,60960839
2026-02-20,598.706,608.912,597.818,607.376,74127323
2026-02-23,605.176,606.578,597.639,599.993,63859111
2026-02-24,600.981,607.555,598.317,606.438,55023732
2026-02-25,609.63,615.377,609.56,615.227,55710653
2026-02-26,614.14,614.14,602.557,607.805,96178870
2026-02-27,601.559,606.887,600.771,605.859,68125196
2026-03-02,597.449,608.483,596.581,606.657,75264644
2026-03-03,594.925,602.537,590.476,600.163,97015532
2026-03-04,602.737,611.436,602.008,609.311,70943888
2026-03-05,605.969,611.316,600.841,607.475,89602407
2026-03-06,598.896,604.572,596.92,598.337,86302307
2026-03-09,592.825,607.835,589.937,606.328,93068170
2026-03-10,606.348,611.845,603.994,606.338,64078867
2026-03-11,607.515,610.987,603.605,606.258,60114800
2026-03-12,601.34,602.717,595.643,595.853,71836629
2026-03-13,598.317,602.178,591.174,592.321,63145490
2026-03-16,598.626,602.437,597.698,598.965,49077155
2026-03-17,601.719,604.472,600.452,601.889,47106607
2026-03-18,600.073,601.739,593.159,593.498,56127962
2026-03-19,588.121,594.396,585.697,591.623,75597578
2026-03-20,589.667,589.777,577.177,580.689,91964677
2026-03-23,589.871,594.426,585.316,587.354,89936118
